parameter_id,parameter_name,material_or_system,value,status,unit,source_title,source_url_or_doi,evidence_type,notes
P242,premux_mineral_fibre_insulation,PREMUX test assembly,"thickness approximately 70; thermal conductivity 0.075",extracted,"mm;W/m/K",Simulation of Volumetrically Heated Pebble Beds in Solid Breeding Blankets for Fusion Reactors: Modelling Experimental Validation and Sensitivity Studies,https://doi.org/10.5445/IR/1000070791,external_experiment_boundary,"Section 3.3.5 reports the as-built surrounding mineral-fibre blanket and cites ASTM C553-13 for the conductivity. The thesis assigns 10% standard uncertainty to the insulation conductivity in Table 6.3."
P243,premux_deterministic_2d_slice_assumption,PREMUX measurement plane,"heat flux in toroidal z direction neglected near longitudinal midplane; lateral slice faces adiabatic",extracted,statement,Simulation of Volumetrically Heated Pebble Beds in Solid Breeding Blankets for Fusion Reactors: Modelling Experimental Validation and Sensitivity Studies,https://doi.org/10.5445/IR/1000070791,published_model_assumption,"Sections 5.7 and 6.3 define the 2D radial-poloidal slice and zero lateral heat-flux condition. This is a published reduced-model assumption, not experimental proof of zero 3D loss."
P244,premux_reference_mesh,PREMUX deterministic ANSYS model,"9496 PLANE223 elements; approximately 77 percent bed; interface refinement; meta mesh 5.9 by 2.2 mm with 200 elements and sensitivity mesh with 1600 elements",extracted,"count;mm",Simulation of Volumetrically Heated Pebble Beds in Solid Breeding Blankets for Fusion Reactors: Modelling Experimental Validation and Sensitivity Studies,https://doi.org/10.5445/IR/1000070791,published_numerical_model,"Section 5.7.3 and Figure 5.18 define the reference discretisation. The new solver must perform its own mesh-convergence study and must not treat 9496 as a transferable universal mesh size."
P245,premux_room_temperature_heater_source_matrix,PREMUX heater blocks,"VHI currents=5.164/4.940/2.072 and q=3.69e8/3.64e8/3.73e8; HI=4.676/4.472/1.878 and 3.03e8/2.99e8/3.06e8; MED=4.230/4.045/1.697 and 2.48e8/2.44e8/2.50e8; LO=3.447/3.308/1.386 and 1.64e8/1.63e8/1.67e8; VLO=2.435/2.380/0.979 and 0.82e8/0.82e8/0.83e8",extracted,"A;W/m3",Simulation of Volumetrically Heated Pebble Beds in Solid Breeding Blankets for Fusion Reactors: Modelling Experimental Validation and Sensitivity Studies,https://doi.org/10.5445/IR/1000070791,external_experiment_source_reconstruction,"Table 6.1 gives heater-block-specific current and room-temperature volumetric generation. The source is assigned to 1 mm heater solids, not smeared over the pebble bed."
P246,premux_heater_source_uncertainty,PREMUX heater blocks,"heater 1 expanded=5.82; heater 2 expanded=5.82; heater 3 expanded=9.52; Table 6.3 standard=2.9/2.9/4.8",extracted,percent,Simulation of Volumetrically Heated Pebble Beds in Solid Breeding Blankets for Fusion Reactors: Modelling Experimental Validation and Sensitivity Studies,https://doi.org/10.5445/IR/1000070791,external_experiment_uncertainty,"Section 6.5.1 reports expanded uncertainties; Table 6.3 reports the corresponding rounded standard uncertainties. The two forms are retained rather than mixed."
P247,premux_nichrome_resistivity_temperature_factor,PREMUX Nichrome 80/20 heater,"T_C=20/100/200/300/400/500/600/700/800/900/1000; factor=1.000/1.006/1.015/1.028/1.045/1.065/1.068/1.057/1.051/1.052/1.062",extracted,"degC;dimensionless",Simulation of Volumetrically Heated Pebble Beds in Solid Breeding Blankets for Fusion Reactors: Modelling Experimental Validation and Sensitivity Studies,https://doi.org/10.5445/IR/1000070791,published_model_input,"Table 6.2 records the MatWeb-derived correction used by the thesis. Piecewise interpolation is admitted only inside 20-1000 degC; no extrapolation is permitted."
P248,premux_measured_air_inlet_and_channel_flow,PREMUX air cooling,"inlet=19.1 plus/minus 1.31; channel mass flow=(2.97 plus/minus 0.30)e-3; coverage factor=2",extracted,"degC;kg/s",Simulation of Volumetrically Heated Pebble Beds in Solid Breeding Blankets for Fusion Reactors: Modelling Experimental Validation and Sensitivity Studies,https://doi.org/10.5445/IR/1000070791,external_experiment_boundary_uncertainty,"Section 6.5.2 reports measured values and expanded uncertainties. Table 6.3 uses standard uncertainties of 3.4% for inlet temperature and 5% for channel mass flow."
P249,premux_bed_wall_thermal_contact_conductance,Li4SiO4 pebble bed to P92 wall,"h_c=2577+4.327*T_C-8.91e-4*T_C^2; expanded uncertainty plus/minus 30; standard uncertainty 15",extracted,"W/m2/K;percent",Simulation of Volumetrically Heated Pebble Beds in Solid Breeding Blankets for Fusion Reactors: Modelling Experimental Validation and Sensitivity Studies,https://doi.org/10.5445/IR/1000070791,published_empirical_boundary_function,"Equation 6.9 uses the Yagi-Kunii model with constants from Reimann et al. Temperature is in degC. The large uncertainty is retained as an input branch; heater/thermocouple-to-bed contact is separately assumed perfect by the published model."
P250,premux_vhi_reduced_2d_source_and_coolant_bulk,PREMUX deterministic VHI model,"temperature-corrected average heater q=3.88e8; 2D loss-adjusted q=3.35e8; extracted heat=1175; coolant bulk=19.5 to 52; cp=1006",extracted,"W/m3;W;degC;J/kg/K",Simulation of Volumetrically Heated Pebble Beds in Solid Breeding Blankets for Fusion Reactors: Modelling Experimental Validation and Sensitivity Studies,https://doi.org/10.5445/IR/1000070791,published_deterministic_model_input,"Section 5.7.3 documents the exact VHI reduction used because the 2D slice does not represent 3D insulation losses. This is a reproduction branch; the independent energy-balance branch must also use measured level-specific loss fractions from P235."
P251,premux_cooling_channel_htc_model,PREMUX air cooling,"Gnielinski correlation with Petukhov gas-property correction; expanded uncertainty 20; Table 6.3 standard uncertainty 10",extracted,percent,Simulation of Volumetrically Heated Pebble Beds in Solid Breeding Blankets for Fusion Reactors: Modelling Experimental Validation and Sensitivity Studies,https://doi.org/10.5445/IR/1000070791,published_boundary_model,"Sections 5.7.2 and 6.5.4 define the correlation and uncertainty. The implementation must calculate HTC from literature air properties and measured flow; no fitted constant HTC is admitted."
P252,premux_ambient_natural_convection_model,PREMUX insulated assembly,"ambient approximately 15; prism=0.5 by 0.25 by 0.25; characteristic length=1.567; expanded uncertainty 20; Table 6.3 standard uncertainty 10",extracted,"degC;m;percent",Simulation of Volumetrically Heated Pebble Beds in Solid Breeding Blankets for Fusion Reactors: Modelling Experimental Validation and Sensitivity Studies,https://doi.org/10.5445/IR/1000070791,published_boundary_model,"Section 6.5.5 uses the Sparrow-Stretton prismatic-body natural-convection correlation. This is required only for an explicit insulation-loss branch; the original 2D reduced-source branch folds losses into q."
P253,premux_reference_sensitivity_ranking,PREMUX probabilistic model,"heater generation approximately 40-50; bed conductivity approximately 30-40; coolant-channel HTC approximately 10-20",extracted,percent,Simulation of Volumetrically Heated Pebble Beds in Solid Breeding Blankets for Fusion Reactors: Modelling Experimental Validation and Sensitivity Studies,https://doi.org/10.5445/IR/1000070791,published_sensitivity_result,"Section 6.8 reports these approximate Sobol/sensitivity contributions. They guide uncertainty prioritisation but are not training labels."
P254,premux_nominal_heater_and_sensor_coordinate_basis,PREMUX measurement plane,"Figure 3.5 conceptual coordinates plus 7 mm hexagonal pitch and 1.6 mm heater offset; plot nominal sensor x coordinates retained; actual ATOS point cloud missing",blocked_exact_as_built_geometry,mm,Simulation of Volumetrically Heated Pebble Beds in Solid Breeding Blankets for Fusion Reactors: Modelling Experimental Validation and Sensitivity Studies,https://doi.org/10.5445/IR/1000070791,external_geometry_boundary,"A scripted nominal-geometry branch may be reconstructed from the conceptual figure and explicit pitch, but it must be labelled nominal and assigned coordinate uncertainty. It cannot be called the as-built PREMUX geometry."
P255,p92_npl_tabulated_thermal_properties,P92 steel,"T_C=13/122/233/338/422/525/718; cp=442/481/519/551/581/641/930; density=7770 throughout; k=29.1/28.9/28.6/28.4/27.3/27.3/27.7; diffusivity=8.47/7.73/7.09/6.63/6.05/5.48/3.83e-6",extracted,"degC;J/kg/K;kg/m3;W/m/K;m2/s",Thermal Diffusivity and Thermal Conductivity Measurements on Oxide Scales,https://eprintspublications.npl.co.uk/2577/,independent_material_property_table,"NPL Report DEPC-MPE 018 Table 5. Diffusivity is based on laser-flash measurements on unoxidised P92; starred cp and density are taken by that report from its Ref. 8 and conductivity is calculated. The printed conductivity header has a dimensional typo."
P256,p92_npl_conductivity_linear_fit,P92 steel,"k=-2.7e-3*T_C+29.058; R2=0.6414",extracted,"W/m/K;dimensionless",Thermal Diffusivity and Thermal Conductivity Measurements on Oxide Scales,https://eprintspublications.npl.co.uk/2577/,independent_material_property_fit,"NPL Report Table 8. Because R2 is only 0.6414, tabulated interpolation is the preferred branch and this fit is retained only for comparison."
P257,p92_property_transfer_to_premux,PREMUX P92 test box,"NPL P92 table is an independent grade-level property source; exact Richardot et al. 2000 table and PREMUX heat-batch identity are unavailable",blocked_exact_original_property_reproduction,statement,Simulation of Volumetrically Heated Pebble Beds in Solid Breeding Blankets for Fusion Reactors: Modelling Experimental Validation and Sensitivity Studies; NPL Report DEPC-MPE 018,https://doi.org/10.5445/IR/1000070791,material_source_boundary,"The deterministic solver may report an NPL-P92 independent-property branch, but may not call it an exact reproduction of the thesis model until the Richardot table and batch equivalence are verified."
P258,premux_nominal_observation_region_transform,PREMUX 2D measurement plane,"local observation map x=0 to approximately 56 and y=0 to 22; full bed radial width=118; centered nominal shift=(118-56)/2=31",derived_from_published_geometry,mm,Simulation of Volumetrically Heated Pebble Beds in Solid Breeding Blankets for Fusion Reactors: Modelling Experimental Validation and Sensitivity Studies,https://doi.org/10.5445/IR/1000070791,published_figure_and_dimension_derivation,"Figures 3.5, 4.6 and 5.18 show the heater/thermocouple region and its central placement; P226 gives the 118 mm full bed. The 31 mm shift is a transparent nominal-model derivation, not an ATOS measurement. Repeated plot digitizations must provide the coordinate spread."
P259,premux_air_property_functions,PREMUX dry air,"cp=1002.5+275e-6*(T_K-200)^2; k=0.02624*(T_K/300)^0.8646; mu=1.458e-6*T_K^1.5/(T_K+110.4)",extracted,"J/kg/K;W/m/K;Pa s",Simulation of Volumetrically Heated Pebble Beds in Solid Breeding Blankets for Fusion Reactors: Modelling Experimental Validation and Sensitivity Studies,https://doi.org/10.5445/IR/1000070791,published_fluid_property_functions,"Equations 6.3-6.5 cite Dixon and Sutherland. The thesis reports cp accuracy 0.1% from -70 to 180 degC and conductivity accuracy 1% from -30 to 230 degC."
P260,premux_backward_step_cooling_correction,PREMUX square cooling channel,"mean step height H=5.03; lambda1=3.23 plus/minus 2.17%; lambda2=0.108 plus/minus 3.70%; lambda3=13.6 plus/minus 3.68%; e/Dh=0.72; corrected coefficient multiplier includes 3.3 wall factor",extracted,"mm;dimensionless",Simulation of Volumetrically Heated Pebble Beds in Solid Breeding Blankets for Fusion Reactors: Modelling Experimental Validation and Sensitivity Studies,https://doi.org/10.5445/IR/1000070791,published_empirical_boundary_function,"Equations 5.82-5.91 combine a Gnielinski baseline, backward-facing-step correction and four-wall-to-one-wall factor. Published validity is Re=4300-44500 and e/Dh=8/29 to 22/29; PREMUX e/Dh=0.72."
P261,premux_measurement_plane_cooling_boundary,PREMUX VHI 82 mm measurement plane,"bulk temperature=33.5633; cp=1005.63; k_air=0.0267469; mu=1.87760e-5; Re=6327.24; Pr=0.70594; Nu_Gn=20.4836; Phi=3.47392; h_corr=251.231",derived_from_published_functions,"degC;J/kg/K;W/m/K;Pa s;dimensionless;W/m2/K",Simulation of Volumetrically Heated Pebble Beds in Solid Breeding Blankets for Fusion Reactors: Modelling Experimental Validation and Sensitivity Studies,https://doi.org/10.5445/IR/1000070791,published_equation_evaluation,"Calculated without fitting from P226/P248/P250/P259/P260 at z=82 mm, 25 mm square channel and measured 2.97e-3 kg/s flow. A script must regenerate all values and propagate the published 20% expanded HTC uncertainty."
P262,nikrothal80_thermal_conductivity,Nikrothal 80 NiCr heater analogue,"T_C=20/100/200/300/400/500/600/700/800/900/1000/1100; k=15/15/15/15/17/19/21/22/24/26/28/30",extracted,"degC;W/m/K",Nikrothal 80 Strip Datasheet,https://www.kanthal.com/en/products/datasheets/material-datasheets/strip/nikrothal-80/,manufacturer_temperature_property_table,"Official Kanthal datasheet updated 2024-09-05. It supplies a temperature-dependent NiCr-80 conductivity branch for the published homogeneous-NiCr heater representation; it does not identify the exact THERMOCOAX composite cable batch."
P263,premux_cooling_channel_to_bed_coordinate_transform,PREMUX 2D radial-poloidal slice,"cooling-channel/test-box radial length=250; bed radial width=118; centered-bed hypothesis gives flow-coordinate interval=66 to 184",blocked_coordinate_origin_hypothesis,mm,Simulation of Volumetrically Heated Pebble Beds in Solid Breeding Blankets for Fusion Reactors: Modelling Experimental Validation and Sensitivity Studies,https://doi.org/10.5445/IR/1000070791,published_geometry_hypothesis,"Figures 3.10 and 3.11 give the 250 mm channel and 118 mm bed. Their centred transform gives 66-184 mm, but the thesis does not explicitly state the Eq. 5.91 x-origin used after shortening the FE box. This branch is a testable hypothesis, not an accepted coordinate contract. The 82 mm plane is toroidal and is rejected as the cooling-flow coordinate."
P264,premux_heater_hot_lengths_and_resistance,PREMUX heater blocks,"hot lengths H1=2.15 H2=2.15 H3=0.175; total resistances=24.1/25.9/18.2; expanded resistance uncertainties=0.149/0.171/0.207",extracted,"m;ohm",Simulation of Volumetrically Heated Pebble Beds in Solid Breeding Blankets for Fusion Reactors: Modelling Experimental Validation and Sensitivity Studies,https://doi.org/10.5445/IR/1000070791,external_experiment_electrical_geometry,"Section 3.3.1 and Table 3.1 define the three electrical circuits. These actual hot lengths resolve the apparent power mismatch produced by incorrectly extruding all 25 cross-sections over the full 189.5 mm bed length."
P265,premux_reference_fe_domain_and_meta_mesh,PREMUX published MEPLAS-DPC model,"FE x-coordinate endpoints=0 and 0.148; mesh=9496 PLANE223 elements; bed meta-elements=200 with 5.9 by 2.2 mm boxes",extracted,"m;count;mm",Simulation of Volumetrically Heated Pebble Beds in Solid Breeding Blankets for Fusion Reactors: Modelling Experimental Validation and Sensitivity Studies,https://doi.org/10.5445/IR/1000070791,published_numerical_geometry,"Section 5.7.3 and Figure 5.18. The 200 meta-elements imply the 118 by 22 mm bed, while the mechanical reference nodes span a wider 148 mm FE domain. The source does not explicitly map the shortened-domain coordinate back to the 250 mm cooling-channel origin."
P266,premux_published_meplas_vhi_predictions,PREMUX MEPLAS-DPC VHI validation,"27 blue MEPLAS-DPC temperature markers in 9 three-point groups",digitized_from_fixed_hash_figure,degC,Simulation of Volumetrically Heated Pebble Beds in Solid Breeding Blankets for Fusion Reactors: Modelling Experimental Validation and Sensitivity Studies,https://doi.org/10.5445/IR/1000070791,published_solver_validation_curve,"Figure 5.20 on PDF page 143 is rendered at fixed 3x scale and colour-segmented by script. The values are published-figure digitizations with a two-pixel vertical uncertainty, not original MEPLAS solver files."
P267,premux_equation_5_91_coordinate_origin,PREMUX cooling boundary,"Eq. 5.91 x is the longitudinal distance after the backward-facing step; exact origin retained by the shortened 148 mm FE domain is not printed",blocked_missing_coordinate_mapping,statement,Simulation of Volumetrically Heated Pebble Beds in Solid Breeding Blankets for Fusion Reactors: Modelling Experimental Validation and Sensitivity Studies,https://doi.org/10.5445/IR/1000070791,published_boundary_condition_gap,"Sections 5.7.1-5.7.3 identify the physical meaning of x and the local FE coordinates but do not print the offset between them. Candidate offsets must be treated as source-defined sensitivity branches and cannot be selected by fitting thermocouple temperatures."
P268,premux_chapter6_full_thermal_model_structure,PREMUX probabilistic thermal model,"measurement-plane slice; lateral slice faces zero heat flux; cooling channels 4 and 10 represented by 1D FLUID116 lines; heaters and thermocouples are homogeneous solids",extracted,statement,Simulation of Volumetrically Heated Pebble Beds in Solid Breeding Blankets for Fusion Reactors: Modelling Experimental Validation and Sensitivity Studies,https://doi.org/10.5445/IR/1000070791,published_numerical_model_structure,"Sections 6.3-6.5 and Figure 6.2. This full thermal branch explicitly includes the test box, inlet/outlet pipes, cooling channels and thermal insulation, unlike the loss-adjusted Chapter-5 model."
P269,premux_chapter6_probabilistic_protocol,PREMUX probabilistic thermal model,"VHI uses 15 stochastic inputs and 136 optimal-space-filling deterministic runs; 3 independent response-surface validation points; weighted-LHS output sample size 1000",extracted,"count;protocol",Simulation of Volumetrically Heated Pebble Beds in Solid Breeding Blankets for Fusion Reactors: Modelling Experimental Validation and Sensitivity Studies,https://doi.org/10.5445/IR/1000070791,published_uncertainty_protocol,"Sections 6.2 and 6.7. HI/MED/LO/VLO use 78 deterministic runs after removing four low-sensitivity inlet/outlet-pipe HTC inputs. The present open reproduction may use this as an acceptance target but may not claim the unpublished ANSYS DoE points were recovered."
P270,premux_chapter6_published_validation,PREMUX probabilistic thermal model,"predicted versus experimental regression slope a=1.001 plus/minus 0.008 at 95% confidence; p-value greater than 0.05 in almost all VHI sensors; B2.41 remains outside",extracted,"dimensionless;statement",Simulation of Volumetrically Heated Pebble Beds in Solid Breeding Blankets for Fusion Reactors: Modelling Experimental Validation and Sensitivity Studies,https://doi.org/10.5445/IR/1000070791,published_external_validation_result,"Figures 6.4-6.6 and Section 6.8. This is the thesis model's reported validation target; it is not evidence that the current MOOSE reproduction has passed."
P271,premux_chapter6_missing_execution_assets,PREMUX probabilistic thermal model,"original ANSYS Workbench project, full CAD, mesh, 136-point OSF table, Kriging response surface and 1000-point weighted-LHS outputs are not included in the public thesis package",blocked_exact_reproduction,statement,Simulation of Volumetrically Heated Pebble Beds in Solid Breeding Blankets for Fusion Reactors: Modelling Experimental Validation and Sensitivity Studies,https://doi.org/10.5445/IR/1000070791,public_asset_gap,"A literature-envelope reimplementation is allowed only with explicit geometry and solver assumptions. It cannot be called an exact Chapter-6 reproduction until the original assets are obtained."
P272,premux_interface_pipe_geometry,PREMUX coolant interface pipes,"outer diameter=22; inner diameter=18; length=120; outlet K-type thermocouple diameter=1.5",extracted,"mm",Simulation of Volumetrically Heated Pebble Beds in Solid Breeding Blankets for Fusion Reactors: Modelling Experimental Validation and Sensitivity Studies,https://doi.org/10.5445/IR/1000070791,published_test_rig_geometry,"Section 3.3.2 and Figure 3.13. These dimensions admit a pipe heat-transfer branch, but the public thesis does not provide the complete pipe-to-2D-slice topology required for exact CAD reconstruction."
P273,premux_vhi_global_heat_loss_pathways,PREMUX full test rig,"VHI global loss fraction=13.2; average over five power levels=13.6; pathways include insulation natural convection plus heater and thermocouple wires, purge pipes and instrumentation feedthroughs",extracted,"percent;statement",Simulation of Volumetrically Heated Pebble Beds in Solid Breeding Blankets for Fusion Reactors: Modelling Experimental Validation and Sensitivity Studies,https://doi.org/10.5445/IR/1000070791,external_global_energy_balance,"Section 4.3.1. The measured 13.2 percent VHI loss is a whole-rig control-volume quantity and must not be imposed as the natural-convection loss of a 2D measurement-plane slice."
P274,premux_chapter6_minor_heat_path_sensitivity,PREMUX VHI probabilistic thermal model,"inlet/outlet-pipe HTC contributes at most 1 percent at wall sensors and is negligible elsewhere; insulation conductivity and insulation-air free convection contribute about 2 percent at wall sensors and are negligible elsewhere",extracted,"percent",Simulation of Volumetrically Heated Pebble Beds in Solid Breeding Blankets for Fusion Reactors: Modelling Experimental Validation and Sensitivity Studies,https://doi.org/10.5445/IR/1000070791,published_sensitivity_result,"Section 6.8. These are response sensitivities, not fractions of the total heat loss; they support keeping the minor paths in validation while preventing them from being used as arbitrary fit knobs."
P275,tesomex_test_box_geometry,TESOMEX 1.0 Li2TiO3 pebble bed,"inner pebble-bed volume=22 by 10 by 2.5; cooling plate thickness=1.5; 20 drilled channels per plate with diameter 7; steel wall thickness=1.5; manifold inner diameter=26.6",extracted,"cm;mm",Investigation of Ceramic Breeder Pebble Beds Thermo-mechanics with Volumetric Heating and Temperature Gradients Representative of the Fusion Nuclear Environment,https://escholarship.org/uc/item/8bw768p3,published_test_rig_geometry,"Chapter 4 reports the preliminary box and cooling-plate geometry. The exact CAD and raw mesh remain unavailable, so this row admits a geometry contract but not exact reconstruction."
P276,tesomex_temperature_instrumentation,TESOMEX 1.0 Li2TiO3 pebble bed,"12 single-point plus one multi-point type-K thermocouple bundles; radial locations=0/5/10/18 from heater",extracted,"count;mm",Investigation of Ceramic Breeder Pebble Beds Thermo-mechanics with Volumetric Heating and Temperature Gradients Representative of the Fusion Nuclear Environment,https://escholarship.org/uc/item/8bw768p3,published_observation_layout,"Chapters 4 and 5. These four radial locations define an external sparse-field sequence task after the plotted histories are digitized."
P277,tesomex_pulsed_temperature_pressure_examples,TESOMEX Li2TiO3 pebble bed,"maximum bed temperature examples=410/745/800/810/868; first-cycle stress-relaxation temperature approximately 720; maximum contact pressure examples=154/241",extracted,"degC;kPa",Investigation of Ceramic Breeder Pebble Beds Thermo-mechanics with Volumetric Heating and Temperature Gradients Representative of the Fusion Nuclear Environment,https://escholarship.org/uc/item/8bw768p3,published_transient_experiment_summary,"Chapter 5 narrative values are audit anchors, not substitutes for the time histories plotted in Figures 5.1-5.5."
P278,tesomex_cycle_to_cycle_temperature_shift,TESOMEX pulsed Li2TiO3 pebble bed,"temperature shift approximately 25 from 842 to 867 between first and fourth cycle; stable after cycle 4 to 5",extracted,"degC;cycle",Investigation of Ceramic Breeder Pebble Beds Thermo-mechanics with Volumetric Heating and Temperature Gradients Representative of the Fusion Nuclear Environment,https://escholarship.org/uc/item/8bw768p3,published_cycle_memory_observation,"Chapter 5 attributes the shift to changing bed-wall contact and local conductivity. This is a physical memory target for leave-one-cycle-out prediction, not a learned offset to prescribe."
P279,tesomex_cooling_gradient_reversal,TESOMEX pulsed Li2TiO3 pebble bed,"after heater shutdown near-wall response is delayed; radial curves cross; temperature gradient reverses and peak location migrates away from heater",extracted,statement,Investigation of Ceramic Breeder Pebble Beds Thermo-mechanics with Volumetric Heating and Temperature Gradients Representative of the Fusion Nuclear Environment,https://escholarship.org/uc/item/8bw768p3,published_transient_mechanism_observation,"Figure 5.8 and accompanying text identify low thermal diffusivity as the mechanism. Curve digitization is required before quantitative validation."
P280,tesomex_24h_continuous_observations,TESOMEX continuous Li2TiO3 pebble bed,"contact stress rises to 120 then becomes negligible after approximately 2 h; core temperature decreases by more than 40 over 24 h; wall temperature rises approximately 4; heater-surface thermocouple fails after 7 h",extracted,"kPa;h;degC",Investigation of Ceramic Breeder Pebble Beds Thermo-mechanics with Volumetric Heating and Temperature Gradients Representative of the Fusion Nuclear Environment,https://escholarship.org/uc/item/8bw768p3,published_long_duration_multimodal_observation,"Figures 5.9-5.10. This branch can test latent property evolution only after the full histories and failure censoring are represented."
P281,tesomex_fem_pebble_bed_density,TESOMEX Li2TiO3 effective pebble-bed material,1927.8,extracted,kg/m3,Investigation of Ceramic Breeder Pebble Beds Thermo-mechanics with Volumetric Heating and Temperature Gradients Representative of the Fusion Nuclear Environment,https://escholarship.org/uc/item/8bw768p3,published_FEM_property_table,"Appendix B APDL command `mp,dens,peb,1927.8`. This is the density used by the dissertation FEM material branch, not an independently remeasured density for every TESOMEX packing."
P282,tesomex_fem_pebble_bed_thermal_conductivity_table,TESOMEX Li2TiO3 effective pebble-bed material,"T_C=0/50/100/150/200/250/300/350/400/450/500/550/600/650/700/750/800/850/900/950/1000; k=0.926/0.935/0.948/0.961/0.975/0.991/1.009/1.028/1.048/1.070/1.093/1.118/1.145/1.172/1.202/1.232/1.265/1.298/1.334/1.370/1.408",extracted,"degC;W/m/K",Investigation of Ceramic Breeder Pebble Beds Thermo-mechanics with Volumetric Heating and Temperature Gradients Representative of the Fusion Nuclear Environment,https://escholarship.org/uc/item/8bw768p3,published_FEM_property_table,"Appendix B APDL `mpdata,kxx/kyy/kzz` table. The deterministic benchmark uses linear interpolation only inside 0-1000 degC and treats this as the dissertation's declared FEM-property branch."
P283,tesomex_fem_pebble_bed_specific_heat_table,TESOMEX Li2TiO3 effective pebble-bed material,"T_C=0/50/100/150/200/250/300/350/400/450/500/550/600/650/700/750/800/850/900/950/1000; cp=1062/1100/1150.95/1193.09/1233.68/1272.72/1310.21/1346.14/1380.52/1413.35/1444.63/1474.35/1502.52/1529.14/1554.21/1577.72/1599.68/1620.09/1638.95/1656.25/1672.00",extracted,"degC;J/kg/K",Investigation of Ceramic Breeder Pebble Beds Thermo-mechanics with Volumetric Heating and Temperature Gradients Representative of the Fusion Nuclear Environment,https://escholarship.org/uc/item/8bw768p3,published_FEM_property_table,"Appendix B APDL `mpdata,c,peb` table. Values are used only within the published temperature range."
P284,tesomex_experimental_bed_atmosphere,TESOMEX thermal-cycling pebble-bed experiments,non-flowing air,extracted,statement,Investigation of Ceramic Breeder Pebble Beds Thermo-mechanics with Volumetric Heating and Temperature Gradients Representative of the Fusion Nuclear Environment,https://escholarship.org/uc/item/8bw768p3,published_experiment_boundary,"Chapter 5 limitations state the 25 degC cycling jump was measured under non-flowing air and that flowing helium would increase bed and interface heat transfer. Li2TiO3-He hot-wire fits must not be substituted as exact TESOMEX properties."
P285,tesomex_tactile_pressure_calibration_error,TESOMEX tactile pressure mapping system,2,extracted,percent,Investigation of Ceramic Breeder Pebble Beds Thermo-mechanics with Volumetric Heating and Temperature Gradients Representative of the Fusion Nuclear Environment,https://escholarship.org/uc/item/8bw768p3,published_sensor_calibration,"Section 4.3.3 reports maximum deviation of 2 percent across the calibrated 0-4 MPa pressure range using representative pebble/silica-sheet conditions."
P286,tesomex_fem_poisson_ratio,KO/NFRI Li2TiO3 pebble-bed continuum,0.25,extracted,dimensionless,Investigation of Ceramic Breeder Pebble Beds Thermo-mechanics with Volumetric Heating and Temperature Gradients Representative of the Fusion Nuclear Environment,https://escholarship.org/uc/item/8bw768p3,published_FEM_constitutive_parameter,"Table 6.2 and Appendix B APDL `mp,prxy/pryz/prxz,peb,0.25`."
P287,tesomex_nonlinear_elastic_stress_exponent,KO/NFRI Li2TiO3 pebble-bed continuum,0.84,extracted,dimensionless,Investigation of Ceramic Breeder Pebble Beds Thermo-mechanics with Volumetric Heating and Temperature Gradients Representative of the Fusion Nuclear Environment,https://escholarship.org/uc/item/8bw768p3,published_FEM_constitutive_parameter,"Table 6.2 parameter s for the stress-invariant-dependent Young modulus."
P288,tesomex_reference_young_modulus,KO/NFRI Li2TiO3 pebble-bed continuum,50,extracted,MPa,Investigation of Ceramic Breeder Pebble Beds Thermo-mechanics with Volumetric Heating and Temperature Gradients Representative of the Fusion Nuclear Environment,https://escholarship.org/uc/item/8bw768p3,published_FEM_constitutive_parameter,"Table 6.2 E0 and Appendix B APDL `YM=0.05E9`. The Workbench implementation also contains a nonlinear elasticity relation; this row is not a universal constant for all packings."
P289,tesomex_cap_cohesion_parameter_sigma0,KO/NFRI Li2TiO3 pebble-bed continuum,0.1,extracted,MPa,Investigation of Ceramic Breeder Pebble Beds Thermo-mechanics with Volumetric Heating and Temperature Gradients Representative of the Fusion Nuclear Environment,https://escholarship.org/uc/item/8bw768p3,published_CAP_parameter,"Table 6.1 and Table 6.2. The dissertation states that the EDP/CAP branch was omitted from the reported Workbench results because of convergence and resource cost."
P290,tesomex_cap_internal_friction_parameter_alpha,KO/NFRI Li2TiO3 pebble-bed continuum,0.25,extracted,dimensionless,Investigation of Ceramic Breeder Pebble Beds Thermo-mechanics with Volumetric Heating and Temperature Gradients Representative of the Fusion Nuclear Environment,https://escholarship.org/uc/item/8bw768p3,published_CAP_parameter,"Table 6.1 and Table 6.2 alpha parameter."
P291,tesomex_cap_initial_X0,KO/NFRI Li2TiO3 pebble-bed continuum,-0.1,extracted,MPa,Investigation of Ceramic Breeder Pebble Beds Thermo-mechanics with Volumetric Heating and Temperature Gradients Representative of the Fusion Nuclear Environment,https://escholarship.org/uc/item/8bw768p3,published_CAP_parameter,"Table 6.1 and Table 6.2 X0 parameter."
P292,tesomex_cap_shape_parameter_R,KO/NFRI Li2TiO3 pebble-bed continuum,0.436,extracted,dimensionless,Investigation of Ceramic Breeder Pebble Beds Thermo-mechanics with Volumetric Heating and Temperature Gradients Representative of the Fusion Nuclear Environment,https://escholarship.org/uc/item/8bw768p3,published_CAP_parameter,"Table 6.2 and Appendix B EDP data. Table 6.1 rounds this value to 0.44."
